Brand,Product Name,Product Type,Fabric,Type of Button,Type of Fit,Thread Count,Fabric Type,Collar,Sleeves,Overall Print
Nike,Cargo Pants,Straight Fit,Polyester,No Button,Loose Fit,250,Corduroy,No Collar,No Sleeves,Stripes
H&M,Cargo Pants,Tapered,Polyester,Double Button,Loose Fit,150,Wool Blend,No Collar,No Sleeves,Camouflage
Levi’s,Cargo Pants,Straight Fit,Cotton,No Button,Oversized Fit,250,Linen,No Collar,No Sleeves,Plain
Adidas,Jeans,Tapered,Cotton,Snap Button,Regular Fit,200,Twill,No Collar,No Sleeves,Solid
Uniqlo,Jeans,Relaxed Fit,Cotton,Single Button,Loose Fit,220,Corduroy,No Collar,No Sleeves,Camouflage
Nike,Formal Trousers,Relaxed Fit,Blend,Single Button,Loose Fit,180,Denim,No Collar,No Sleeves,Camouflage
Levi’s,Jeans,Slim Fit,Polyester,No Button,Slim Fit,220,Denim,No Collar,No Sleeves,Plain
Nike,Formal Trousers,Slim Fit,Cotton,No Button,Slim Fit,250,Linen,No Collar,No Sleeves,Plain
Uniqlo,Jeans,Straight Fit,Polyester,No Button,Regular Fit,250,Corduroy,No Collar,No Sleeves,Plain
H&M,Chinos,Relaxed Fit,Rayon,Snap Button,Regular Fit,200,Twill,No Collar,No Sleeves,Stripes
H&M,Chinos,Slim Fit,Cotton,No Button,Regular Fit,220,Denim,No Collar,No Sleeves,Plain
Zara,Joggers,Tapered,Blend,No Button,Loose Fit,180,Linen,No Collar,No Sleeves,Solid
Adidas,Formal Trousers,Relaxed Fit,Polyester,No Button,Slim Fit,200,Corduroy,No Collar,No Sleeves,Camouflage
Zara,Formal Trousers,Tapered,Polyester,Single Button,Oversized Fit,220,Linen,No Collar,No Sleeves,Stripes
Nike,Formal Trousers,Relaxed Fit,Linen,Single Button,Slim Fit,150,Corduroy,No Collar,No Sleeves,Solid
Adidas,Jeans,Slim Fit,Rayon,Double Button,Slim Fit,200,Denim,No Collar,No Sleeves,Camouflage
Uniqlo,Cargo Pants,Straight Fit,Cotton,No Button,Slim Fit,250,Wool Blend,No Collar,No Sleeves,Stripes
Uniqlo,Jeans,Relaxed Fit,Rayon,Single Button,Loose Fit,250,Corduroy,No Collar,No Sleeves,Stripes
Levi’s,Formal Trousers,Tapered,Rayon,Double Button,Regular Fit,180,Denim,No Collar,No Sleeves,Camouflage
Levi’s,Jeans,Relaxed Fit,Polyester,Snap Button,Loose Fit,250,Corduroy,No Collar,No Sleeves,Plain
Zara,Joggers,Slim Fit,Rayon,Single Button,Regular Fit,180,Wool Blend,No Collar,No Sleeves,Plain
Nike,Cargo Pants,Relaxed Fit,Linen,Double Button,Regular Fit,250,Denim,No Collar,No Sleeves,Solid
Adidas,Formal Trousers,Slim Fit,Blend,Single Button,Oversized Fit,200,Linen,No Collar,No Sleeves,Stripes
H&M,Chinos,Straight Fit,Blend,No Button,Regular Fit,200,Twill,No Collar,No Sleeves,Solid
Nike,Formal Trousers,Tapered,Cotton,Snap Button,Loose Fit,150,Linen,No Collar,No Sleeves,Stripes
Zara,Formal Trousers,Straight Fit,Rayon,No Button,Oversized Fit,220,Corduroy,No Collar,No Sleeves,Stripes
Uniqlo,Cargo Pants,Relaxed Fit,Blend,No Button,Regular Fit,180,Denim,No Collar,No Sleeves,Camouflage
Nike,Cargo Pants,Relaxed Fit,Blend,Double Button,Slim Fit,150,Wool Blend,No Collar,No Sleeves,Stripes
Adidas,Jeans,Relaxed Fit,Rayon,Double Button,Loose Fit,220,Linen,No Collar,No Sleeves,Solid
H&M,Cargo Pants,Straight Fit,Rayon,Double Button,Slim Fit,150,Twill,No Collar,No Sleeves,Camouflage
